,sentence
23,"""|PMS Yehey|NNP .|PMP
"
24,"May|VBH bago|JJD na|CCP naman|RBI akong|PRS_CCP damit|NNC at|CCA laruan|NNC ,|PMC ""|PMS masayang|JJD_CCP sigaw|NNC ni|DTP Ali|NNP .|PMP  
"
25,"""|PMS Sige|NNP na|RBI .|PMP
"
26,"Bumalik|VBAF ka|PRS na|CCP doon|PRL at|CCA naghihintay|VBTR ang|DTC iyong|PRSP_CCP mga|DTCP kalaro|NNC .|PMP
"
27,"Ayusin|VBOF ko|PRS muna|RBI ang|DTC aking|PRSP_CCP mga|DTCP pangisda|NNC .|PMP  
"
28,"""|PMS Sige|NNP ,|PMC Tatay|NNC .|PMP
"
29,"Babalik|VBTF na|CCP muna|RBI ako|PRS sa|CCT aking|PRSP_CCP mga|DTCP kalaro|NNC .|PMP ""|PMS  
"
30,"""|PMS Halika|NNP na|CCP !|PMS
"
31,"Maglaro|VBAF tayo|PRP ulit|RBW !|PMS  
"
32,"""|PMS pag|CCR -|PMS anyaya|NNC ng|CCB kaniyang|PRSP_CCP mga|DTCP kaibigan|NNC .|PMP  
"
33,"""|PMS Nanay|NNP ,|PMC Tatay|NNC ,|PMC gusto|VBS ko|PRS ΓÇÖ|PMS ng|CCB tinapay|NNC ,|PMC Ate|NNC ,|PMC Kuya|NNC ,|PMC gusto|VBS ko|PRS ΓÇÖ|PMS ng|CCB kape|NNC .|PMP
"
34,"Lahat|PRI ng|CCB gusto|VBS ko|PRS ay|LM susundin|VBTF niyo|PRP !|PMS  
"
35,"""|PMS sabay|RBD -|PMS sabay|RBD na|CCP kanta|NNC nila|PRP .|PMP
"
36,"Habang|RBW naglalaro|VBTR ,|PMC bigla|JJD na|RBI lang|RBI tumigil|VBAF at|CCA nagtanong|VBTS ang|DTC isa|PRI sa|CCT mga|DTCP kaibigan|NNC niya|PRS .|PMP  
"
37,"""|PMS Ali|NNP ,|PMC nasaan|JJD ang|DTC iyong|PRSP_CCP nanay|NNC ?|PMQ  
"
38,"""|PMS tanong|NNC ng|CCB isa|PRI niyang|PRS_CCP kaibigan|NNC .|PMP
"
39,"Nagtanong|VBTS din|RBI ang|DTC isa|PRI niyang|PRS_CCP kaibigan|NNC .|PMP  
"
40,"""|PMS Bakit|PRQ hindi|RBF namin|PRP siya|PRS nakikita|VBTR ?|PMQ
"
41,"Si|DTP Tatay|NNP mo|PRS lang|RBI ang|DTC nandiyan|VBTS .|PMP  
"
42,"""|PMS Nahiya|VBTS si|DTP Ali|NNP at|CCA sumagot|VBAF ,|PMC ""|PMS May|VBH pinuntahan|VBOF lang|RBI si|DTP Nanay|NNP ko|PRS .|PMP
"
43,"Iyan|VBTS_VBOF ang|DTC sabi|NNC ng|CCB Tatay|NNC .|PMP ""|PMS  
"
44,"""|PMS Bakit|PRQ hindi|RBF pa|RBI siya|PRS bumabalik|VBTR_VBAF ?|PMQ  
"
45,"""|PMS tanong|NNC ng|CCB isa|PRI niyang|PRS_CCP kaibigan|NNC .|PMP  
"
46,"""|PMS Hindi|RBF ko|PRS rin|RBI alam|VBS kung|RBK bakit|RBQ hindi|RBF pa|RBI siya|PRS nakabalik|VBTS ,|PMC ""|PMS malungkot|JJD na|CCP sagot|NNC ni|DTP Ali|NNP .|PMP  
"
47,"""|PMS Mukhang|RBM magdidilim|VBTF na|RBI .|PMP
"
48,"Uuwi|NNP na|CCP ako|PRS at|CCA baka|RBM hinahanap|VBTR na|CCP ako|PRS ng|CCB Tatay|NNC ko|PRS .|PMP  
"
49,"""|PMS Mabilis|RBD na|CCP tumabakbo|VBAF si|DTP Ali|NNP pabalik|VBW sa|CCT kanilang|PRSP_CCP bahay|NNC .|PMP
"
50,"Habang|RBW naghahapunan|VBTR ,|PMC tinaong|VBTS ni|DTP Ali|NNP ang|DTC kaniyang|PRSP_CCP tatay|NNC .|PMP  
"
51,"""|PMS Tatay|NNC ,|PMC kailan|PRQ babalik|VBTF si|DTP Nanay|NNP ?|PMQ  
"
52,"""|PMS Hindi|RBF sumagot|VBAF si|DTP Tatay|NNP sa|CCT tanong|NNC ni|DTP Ali|NNP .|PMP
"
53,"Biglang|RBD_CCP tumahimik|VBAF si|DTP Ali|NNP sa|CCT harap|NNC ng|CCB kaniyang|PRSP_CCP tatay|NNC .|PMP
"
54,"Dali|NNP -|PMS dali|JJD niyang|PRS_CCP tinatapos|VBTR ang|DTC kaniyang|PRSP_CCP hapunan|NNC at|CCA uminum|VBAF ng|CCB tubig|NNC .|PMP  
"
55,"""|PMS Tapos|RBW ka|PRS na|CCP bang|RBM kumain|VBAF ?|PMQ  
"
56,"""|PMS tanong|NNC ni|DTP Tatay|NNC kay|DTP Ali|NNP .|PMP
"
57,"Tumango|NNP lang|RBI si|DTP Ali|NNP .|PMP  
"
58,"""|PMS Maghuhugas|NNP muna|RBI ako|PRS ng|CCB pinggan|NNC .|PMP
"
59,"Dito|PRL ka|PRS lang|RBI ha|NNCA ,|PMC Ali|NNP ?|PMQ
"
60,"Huwag|RBF ka|PRS munang|RBW_CCP lumabas|VBAF dahil|CCR gabi|RBW na|RBI .|PMP
"
61,"Malakas|JJD din|RBI ang|DTC alon|NNC ngayong|RBW_CCP gabi|RBW ,|PMC ""|PMS sabi|VBS ni|DTP Tatay|NNP Ali|NNP .|PMP
"
62,"Hindi|RBF sumagot|VBAF si|DTP Ali|NNP .|PMP
"
63,"Pumunta|VBAF sa|CCT likod|NNC ng|CCB bahay|NNC si|DTP Tatay|NNP Mario|NNP para|CCT maghugas|VBW ng|CCB kanilang|PRSP_CCP pinagkainan|VBRF .|PMP
"
64,"Nalungkot|VBTS si|DTP Ali|NNP .|PMP
"
65,"Lumabas|VBAF siya|PRS na|CCP hindi|RBF nagpaalam|VBTS sa|CCT kaniyang|PRSP_CCP Tatay|NNC .|PMP
"
66,"Naramdaman|VBTS niya|PRS ang|DTC malakas|JJD na|CCP hamapas|NNC ng|CCB hangin|NNC habang|RBW naglalakad|VBTR sa|CCT tabing|NNC_CCP dagat|NNC .|PMP
"
67,"Lumapit|VBAF siya|PRS sa|CCT tubig|NNC at|CCA binabad|VBOF ang|DTC kaniyang|PRSP_CCP mga|DTCP kamay|NNC hanggang|RBW lubusang|RBD_CCP nagtampisaw|VBTR sa|CCT dagat|NNC .|PMP
"
68,"Bigla|RBD siyang|PRS_CCP hinampas|VBTS ng|CCB malakas|JJD na|CCP alon|NNC ng|CCB tubig|NNC .|PMP
"
69,"Siya|PRS ay|LM natumba|VBTS at|CCA naanod|VBTS .|PMP
"
70,"Lumutang|VBTR_VBAF siya|PRS sa|CCT dagat|NNC .|PMP
"
71,"May|VBH nainum|VBTS siyang|PRS_CCP tubig|NNC .|PMP
"
72,"Unti|NNP -|PMS unti|JJD siyang|PRS_CCP nalulunod|VBTR habang|RBW naririnig|VBTR ang|DTC sigaw|NNC ng|CCB kaniyang|PRSP_CCP tatay|NNC .|PMP  
"
73,"""|PMS Ali|NNP !|PMS  
"
74,"""|PMS Biglang|RBD_CCP may|VBH humila|VBAF pataas|JJD sa|CCT mga|DTCP kamay|NNC ni|DTP Ali|NNP .|PMP
"
75,"Niyakap|VBTS siya|PRS ng|CCB mahigpit|JJD ng|CCB kaniyang|PRSP_CCP tatay|NNC habang|RBW umiiyak|VBTR_VBAF .|PMP  
"
76,"""|PMS Sabi|VBS ko|PRS na|CCP na|CCP huwag|RBF kang|PRS_CCP lumabas|VBAF .|PMP
"
77,"Ayaw|RBF ko|PRS na|CCP pati|CCA ikaw|PRS ,|PMC mawala|VBW pa|RBI sa|CCT akin|PRSP ,|PMC Ali|NNP .|PMP
"
78,"Ikaw|NNP na|CCP lang|RBI ang|DTC mayroon|VBH ako|PRS .|PMP  
"
79,"""|PMS Binuhat|VBTS siya|PRS ng|CCB kaniyang|PRSP_CCP tatay|NNC habang|RBW ang|DTC kanyang|PRSP_CCP ulo|NNC ay|LM nakapatong|VBTS sa|CCT balikat|NNC ng|CCB kaniyang|PRSP_CCP ama|NNC .|PMP
"
80,"Sa|CCT kanilang|PRSP_CCP daan|NNC pauwi|NNC ,|PMC nakita|VBTS ni|DTP Ali|NNP ang|DTC bangka|NNC ng|CCB kaniyang|PRSP_CCP tatay|NNC .|PMP
"
81,"ΓÇ£|PMS Mario|NNP ≡ƒÄö|PMS Ali|NNP ΓÇ¥|PMS ang|DTC nasilayan|VBTS ni|DTP Ali|NNP sa|CCT ilalim|JJD ng|CCB liwanag|NNC ng|CCB buwan|NNC .|PMP
"
82,"Si|DTP Tatay|NNP Mario|NNP ay|LM isang|PRI_CCP mangingisda|NNC sa|CCT lungsod|NNC ng|CCB Roxas|NNP .|PMP
"
83,"Kasama|CCB niyang|PRS_CCP namumuhay|VBTR nang|RBW matiwasay|JJD ay|LM ang|DTC kaniyang|PRSP_CCP anak|NNC na|CCP si|DTP Ali|NNP .|PMP
"
84,"Kasabay|CCB sa|CCT paglaki|NNC ni|DTP Ali|NNP ang|DTC kanyang|PRSP_CCP tanong|NNC kung|CCR nasaan|JJD ang|DTC kanyang|PRSP_CCP nanay|NNC -|PMS tanong|NNC na|CCP siyang|PRS_CCP magbubuhay|VBW ng|CCB pagmamahal|NNC ni|DTP Tatay|NNP Mario|NNP sa|CCT kanya|PRSP .|PMP
"
85,"Si|DTP Ningning|NNP ay|LM isang|PRI_CCP batang|JJD_CCP papel|NNC na|CCP hindi|RBF ngumingiti|VBTR .|PMP
"
86,"Anak|NNP -|PMS anakan|NNC siya|PRS ni|DTP Marie|NNP .|PMP
"
87,"Pinapabihisan|VBTR siya|PRS ni|DTP Marie|NNP araw|RBW -|PMS gabi|RBW .|PMP
"
88,"Iba|PRI -|PMS iba|PRI ang|DTC kulay|NNC ng|CCB kaniyang|PRSP_CCP damit|NNC na|CCP yari|VBS sa|CCT papel|NNC .|PMP
"
89,"Meron|VBH siyang|PRS_CCP damit|NNC na|CCP naka|RBD -|PMS ayon|RBR sa|CCT iba|PRI '|PMS t|NNCA ibang|PRI_CCP okasyon|NNC .|PMP
"
90,"Nang|RBW pumasok|VBAF na|CCP sa|CCT eskwelahan|NNC si|DTP Marie|NNP ay|LM nagbago|VBTS na|CCP ang|DTC pagturing|VBW nito|PRO sa|CCT batang|JJD_CCP papel|NNC .|PMP
"
91,"Marami|PRI nang|RBW pinagkakaabalahan|VBTR_VBRF si|DTP Marie|NNP .|PMP
"
92,"Sa|CCT kaniyang|PRSP_CCP pag|CCR -|PMS iisa|JJD sa|CCT gabi|RBW ,|PMC tinatanaw|VBTR niya|PRS si|DTP Bituon|NNP .|PMP  
"
93,"""|PMS Gusto|VBS kong|PRS_CCP makangiti|VBW .|PMP
"
94,"Gusto|VBS kong|PRS_CCP maging|VBW masaya|JJD si|DTP Marie|NNP habang|RBW naglalaro|VBTR kami|PRP .|PMP
"
95,"Gusto|VBS kong|PRS_CCP hindi|RBF niya|PRS makalimutan|VBW ang|DTC aking|PRSP_CCP ngiti|NNC kahit|CCT na|CCP marami|PRI na|CCP siyang|PRS_CCP pinagkakaabalahan|VBTR_VBRF .|PMP  
"
96,"""|PMS Narinig|VBTS ni|DTP Bituon|NNP ang|DTC hiling|NNC ni|DTP Ningning|NNP .|PMP
"
97,"Isang|PRI_CCP gabi|RBW ay|LM nagpakita|VBTS ito|PRO kay|DTP Ningning|NNP ""|PMS Ibibigay|VBOF ko|PRS ang|DTC hinihiling|VBTR mo|PRS ,|PMC pero|CCT bago|RBW kita|NNC bigyan|VBOF ng|CCB ngiti|NNC ay|LM gagawin|VBTF muna|RBI kitang|RBD_CCP isang|PRI_CCP totoong|RBT_CCP bata|NNC ,|PMC ""|PMS sabi|VBS ni|DTP Bituon|NNP .|PMP
"
98,"Binalot|VBOF ng|CCB liwanang|NNC_CCP si|DTP Ningning|NNP .|PMP
"
99,"Naramdaman|VBTS niyang|PRS_CCP nagbabago|VBTR ang|DTC kaniyang|PRSP_CCP katawan|NNC .|PMP
"
100,"Lumaki|VBAF at|CCA bumigat|VBAF na|CCP siya|PRS .|PMP
"
101,"Nang|RBW buksan|VBOF niya|PRS ang|DTC kaniyang|PRSP_CCP mga|DTCP mata|NNC ay|LM nakita|VBTS niya|PRS sa|CCT salamin|NNC na|CCP siya|PRS ay|LM isa|PRI nang|RBD ganap|RBD na|CCP bata|JJD .|PMP
"
102,"Nasiyahan|VBTS si|DTP Ningning|NNP .|PMP
"
103,"Makakasama|VBTF na|CCP ito|PRO kay|DTP Marie|NNP .|PMP
"
104,"Ngingiti|NNP sana|VBS siya|PRS ngunit|CCT hindi|RBF niya|PRS magawa|VBW .|PMP
"
105,"Nahihirapan|VBTR siyang|PRS_CCP ngumiti|VBAF !|PMS  
"
106,"""|PMS Bituon|NNP ,|PMC bakit|PRQ hindi|RBF ako|PRS makangiti|VBW ?|PMQ  
"
107,"""|PMS Bago|RBW pa|RBI makasagot|VBW si|DTP Bituon|NNP ay|LM dahan|NNC -|PMS dahan|NNC na|CCP itong|PRO_CCP nawawalan|VBTR ng|CCB liwanag|NNC .|PMP
"
108,"Dagling|NNP_CCP kislap|NNC lamang|RBI at|CCA tuluyan|RBD na|CCP siyang|PRS_CCP nawalan|VBTS ng|CCB liwanag|NNC .|PMP  
"
109,"""|PMS Paumanhin|RBS ,|PMC Ningning|VBTS .|PMP
"
110,"Naubusan|VBTS na|CCP ako|PRS ng|CCB liwanag|NNC .|PMP
"
111,"Hindi|RBF kita|NNC mabibigyan|VBW ng|CCB ngiti|NNC .|PMP ""|PMS  
"
112,"""|PMS Gusto|VBS kong|PRS_CCP ngumiti|VBAF at|CCA tumawa|VBAF .|PMP
"
113,"Bituon|NNP ,|PMC ano|PRQ ang|DTC puwede|RBT kong|PRS_CCP gawin|VBOF ?|PMQ  
"
114,"""|PMS Isinalaysay|VBTS ni|DTP Bituon|NNP ang|DTC nangyari|VBTS dalawang|JJN_CCP gabi|RBW na|CCP ang|DTC nakalipas|VBTS .|PMP  
"
115,"""|PMS Dumating|VBAF si|DTP Balabaw|NNP .|PMP
"
116,"Kinakailangan|VBTR niya|PRS raw|RBI ng|CCB liwanag|NNC upang|CCB gumaling|VBAF ang|DTC kaniyang|PRSP_CCP sakit|NNC .|PMP
"
117,"Nang|RBW maipasok|VBW na|CCP niya|PRS ang|DTC liwanag|NNC sa|CCT loob|NNC ng|CCB bote|NNC ,|PMC inihayag|VBTS pangloloko|JJD lamang|RBI iyon|PRO ,|PMC at|CCA wala|VBN talaga|RBT siyang|PRS_CCP sakit|NNC .|PMP
"
118,"Kinuha|VBOF niya|PRS ang|DTC bote|NNC at|CCA agad|RBD na|CCP tumakbo|VBAF palayo|RBD .|PMP
"
119,"Narinig|VBTS ni|DTP Marie|NNP ang|DTC pag|CCR -|PMS uusap|NNC nina|DTPP Ningning|NNP at|CCA Bituon|NNP .|PMP  
"
120,"""|PMS Gusto|VBS kong|PRS_CCP makalaro|VBW pa|RBI si|DTP Ningning|NNP .|PMP
"
121,"Gusto|VBS ko|PRS siyang|PRS_CCP makita|VBW na|CCP nakangiti|JJD at|CCA tumatawa|VBTR_VBAF .|PMP
"
122,"Tutulong|VBTF ako|PRS .|PMP
"
123,"Ibabalik|VBTF natin|PRP ang|DTC liwanag|NNC mo|PRS ,|PMC Bituon|NNP ,|PMC ""|PMS pahayag|NNC ni|DTP Marie|NNP .|PMP
"
124,"Nang|RBW sumunod|VBAF na|CCP gabi|RBW ay|LM nagsimulang|RBD_CCP maghanap|RBD sina|DTPP Marie|NNP ,|PMC Ningning|NNP ,|PMC at|CCA Bituon|NNP .|PMP
"
125,"Hinagilap|NNP nila|PRP si|DTP Balabaw|NNP .|PMP
"
126,"Sa|CCT kanilang|PRSP_CCP paglalakad|NNC ay|LM may|VBH nakita|VBTS silang|PRP_CCP isang|PRI_CCP butas|NNC sa|CCT lupa|NNC .|PMP
"
127,"Para|CCT makapasok|VBW sa|CCT butas|NNC ,|PMC ginamit|VBOF ni|DTP Bituon|NNP ang|DTC kaniyang|PRSP_CCP natitirang|VBTR_CCP liwanag|NNC upang|CCB sila|PRP ay|LM maging|VBW maliit|JJD .|PMP
"
128,"Sa|CCT kanilang|PRSP_CCP paglalakad|NNC ay|LM may|VBH nakita|VBTS silang|PRP_CCP isang|PRI_CCP butas|NNC sa|CCT lupa|NNC .|PMP
"
129,"Para|CCT makapasok|VBW sa|CCT butas|NNC ,|PMC ginamit|VBOF ni|DTP Bituon|NNP ang|DTC kaniyang|PRSP_CCP natitirang|VBTR_CCP liwanag|NNC upang|CCB sila|PRP ay|LM maging|VBW maliit|JJD .|PMP
"
130,"Makalipas|VBW ang|DTC ilang|PRQ_CCP sandali|NNC ay|LM nakakita|VBTS sina|DTPP Ningning|NNP ,|PMC Marie|NNP ,|PMC at|CCA Bituon|NNP ng|CCB isang|PRI_CCP pares|NNC ng|CCB matang|NNC_CCP lumiliwanag|VBTR_VBAF sa|CCT dilim|NNC .|PMP  
"
131,"""|PMS Si|DTP Balabaw|NNP !|PMS  
"
132,"""|PMS sigaw|NNC ng|CCB tatlong|JJN_CCP magkakaibigan|VBTF .|PMP
"
133,"Tumakbo|VBAF papalayo|RBD si|DTP Balabaw|NNP .|PMP
"
134,"Hinabol|VBOF nila|PRP ito|PRO hanggang|RBW sa|CCT makarating|VBW sila|PRP sa|CCT pinaglalagyan|VBRF niya|PRS ng|CCB kaniyang|PRSP_CCP mga|DTCP ninakaw|VBTS ΓÇö|PMS isang|PRI_CCP kutsara|NNC ,|PMC dalawang|JJN_CCP butones|NNC ,|PMC tatlong|JJN_CCP plato|NNC ,|PMC at|CCA isang|PRI_CCP tumpok|NNC ng|CCB palay|NNC .|PMP
"
135,"Sa|CCT taas|NNC ng|CCB bato|NNC ay|LM naroon|PRL ang|DTC isang|PRI_CCP bote|NNC na|CCP lumiliwanag|VBTR_VBAF .|PMP
"
136,"Bago|RBW pa|RBI ito|PRO makuha|VBW ni|DTP Ningning|NNP ay|LM inunahan|VBTS na|CCP ito|PRO ni|DTP Balabaw|NNP .|PMP  
"
137,"""|PMS Balabaw|NNP ,|PMC ibalik|VBOF mo|PRS sa|CCT amin|PRSP ang|DTC ninakaw|VBTS mong|PRS_CCP liwanag|NNC !|PMS  
"
138,"""|PMS sigaw|NNC ni|DTP Ningning|NNP .|PMP  
"
139,"""|PMS Binigay|VBOF ito|PRO sa|CCT akin|PRSP ni|DTP Bituon|NNP .|PMP
"
140,"Hindi|RBF ko|PRS ito|PRO ninakaw|VBTS .|PMP ""|PMS  
"
141,"""|PMS Niloko|NNP mo|PRS ako|PRS Balabaw|NNP .|PMP
"
142,"Sabi|VBS mo|PRS ay|LM kailangan|VBS mo|PRS ng|CCB liwanag|NNC para|CCT gumaling|VBAF ang|DTC sakit|NNC mo.|NNCA .|PMP
"
143,"Hindi|RBF pala|NNC totoong|RBT_CCP may|VBH sakit|NNC ka|PRS ,|PMC ""|PMS sabi|VBS ni|DTP Bituon|NNP .|PMP  
"
144,"""|PMS Hahaha|NNP !|PMS
"
145,"Kasalanan|CCR ko|PRS ba|RBI kung|CCR mabilis|JJD kang|PRS_CCP mapapaniwala|VBW ,|PMC Bituon|NNP ?|PMQ ""|PMS  
"
146,"""|PMS Ibalik|VBOF mo|PRS ang|DTC liwanag|NNC ni|DTP Bituon|NNP .|PMP
"
147,"Marami|PRI pang|RBI_CCP nilalang|NNC ang|DTC puwedeng|RBT_CCP matulungan|VBW nito|PRO kung|CCR ibabalik|VBTF mo|PRS ang|DTC liwanag|NNC na|CCP nasa|RBL bote|NNC ,|PMC ""|PMS sabi|VBS ni|DTP Ningning|NNP .|PMP  
"
148,"""|PMS Ayaw|RBF ko|PRS ,|PMC ""|PMS pagmamatigas|VBW ni|DTP Balabaw|NNP .|PMP  
"
149,"""|PMS Pagsisisihan|NNP mo|PRS ang|DTC iyong|PRSP_CCP panloloko|NNC at|CCA pagkasakim|NNC ,|PMC ""|PMS sabi|VBS ni|DTP Marie|NNP .|PMP
"
150,"Biglang|RBD_CCP nahulog|VBTS sa|CCT lupa|NNC si|DTP Bituon|NNP .|PMP
"
151,"Dahan|NNP -|PMS dahang|NNC_CCP nawala|VBTS ang|DTC liwanag|NNC sa|CCT kaniyang|PRSP_CCP katawan|NNC .|PMP  
"
152,"""|PMS Bituon|NNP !|PMS  
"
153,"""|PMS sabay|JJD na|CCP sigaw|NNC nina|DTPP Marie|NNP at|CCA Ningning|NNP .|PMP  
"
154,"""|PMS Ipagpaumanhin|NNP mo|PRS ,|PMC Ningning|VBTS .|PMP
"
155,"Hindi|RBF na|CCP kita|NNC mabibigyan|VBTF ng|CCB ngiti|NNC ,|PMC ""|PMS sabi|VBS ng|CCB nag|PRSP_CCP -|PMS aagaw|FW buhay|NNC na|CCP si|DTP Bituon|NNP .|PMP  
"
156,"""|PMS Mas|JJCC pipiliin|VBTF ko|PRS pang|RBI_CCP hindi|RBF nalang|RBD_CCP magkaroon|VBW ng|CCB ngiti|NNC basta|CCT mabuhay|VBW ka|PRS lang|RBI ,|PMC Bituon|NNP ,|PMC ""|PMS sabi|VBS ni|DTP Ningning|NNP .|PMP
"
157,"Tumango|NNP -|PMS tango|JJD si|DTP Marie|NNP habang|RBW nakikinig|VBTR .|PMP  
"
158,"""|PMS Ningning|NNP ,|PMC kahit|CCT na|CCP hindi|RBF ka|PRS makangiti|VBW ,|PMC ikaw|PRS parin|VBOF ang|DTC matalik|JJD kong|PRS_CCP kaibigan|NNC ,|PMC ""|PMS sabi|VBS ni|DTP Marie|NNP .|PMP  
"
159,"""|PMS Maraming|PRI_CCP salamat|RBS ,|PMC Marie|NNP .|PMP
"
160,"Kahit|CCT hindi|RBF ako|PRS makangiti|VBW ay|LM may|VBH isang|PRI_CCP tao|NNC na|CCP handang|RBD_CCP tumanggap|VBAF sa|CCT akin|PRSP .|PMP  
"
161,"""|PMS Pumatak|VBAF ang|DTC mga|DTCP butil|NNC ng|CCB luha|NNC sa|CCT mga|DTCP mata|NNC nina|DTPP Marie|NNP at|CCA Ningning|NNP .|PMP
"
162,"Nasaksihan|VBTS ni|DTP Balabaw|NNP ang|DTC totoong|RBT_CCP pagkakaibigan|NNC nina|DTPP Ningning|NNP ,|PMC Marie|NNP ,|PMC at|CCA Bituon|NNP .|PMP
"
163,"At|CCA nagkonsensiya|VBTS ito|PRO .|PMP
"
164,"Pumunta|VBAF siya|PRS kay|DTP Bituon|NNP .|PMP
"
165,"Ibinalik|VBTS niyang|PRS_CCP muli|RBW kay|DTP Bituon|NNP ang|DTC liwanag|NNC na|CCP nasa|RBL bote|NNC .|PMP
"
166,"Unti|NNP -|PMS unting|FW lumiwanag|VBTS_VBAF si|DTP Bituon|NNP .|PMP  
"
167,"""|PMS Bumalik|VBAF ang|DTC iyong|PRSP_CCP liwanag|NNC ,|PMC Bituon|NNP ,|PMC ""|PMS sigaw|NNC ni|DTP Marie|NNP at|CCA Ningning|NNP ,|PMC at|CCA bigla|RBD nilang|PRP_CCP niyakap|VBOF si|DTP Bituon|NNP .|PMP  
"
168,"""|PMS Ipagpaumanhin|VBOB ninyo|PRP ang|DTC ginawa|VBOF ko|PRS ,|PMC Bituon|NNP .|PMP
"
169,"Paumanhin|RBS ,|PMC Marie|NNP at|CCA Ningning|NNP ,|PMC ""|PMS pagmamakaawa|NNC ni|DTP Balabaw|NNP .|PMP  
"
170,"""|PMS Pinapatawad|VBTR ka|PRS namin|PRP ,|PMC Balabaw|NNC ,|PMC ""|PMS sagot|NNC ni|DTP Bituon|NNP ,|PMC habang|RBW nakatingin|RBD kina|DTPP Marie|NNP at|CCA Ningning|NNP na|CCP tumango|VBAF rin|RBI bilang|CCT pagsang|NNC -|PMS ayon|RBR .|PMP
"
171,"Pinatawag|VBOF ni|DTP Bituon|NNP ang|DTC mga|DTCP tutubi|NNC .|PMP
"
172,"Sa|CCT isang|PRI_CCP iglap|FW lang|RBI ay|LM nagsiliparan|VBTS ang|DTC mga|DTCP tutubi|NNC sa|CCT paligid|NNC .|PMP
"
173,"Lumaki|VBAF ang|DTC mga|DTCP mata|NNC nina|DTPP Marie|NNP ,|PMC Ningning|NNP ,|PMC at|CCA Balabaw|NNP .|PMP
"
174,"Naging|VBTS maliwanag|JJD ang|DTC lugar|NNC ni|DTP Balabaw|NNP .|PMP  
"
175,"""|PMS Maraming|PRI_CCP salamat|RBS ,|PMC Bituon|NNP .|PMP
"
176,"Salamat|RBS ,|PMC Marie|NNP at|CCA Ningning|NNP ,|PMC ""|PMS sagot|NNC ni|DTP Balabaw|NNP .|PMP
"
